"","lhs","op","rhs","est.std","se","z","pvalue","ci.lower","ci.upper"
"53","qu30","~~","qu30",0.770508816230619,0.113167717499808,6.80855665602628,9.85833636946154e-12,0.548704165718392,0.992313466742845
"54","qu31","~~","qu31",0.768353098382013,0.104605062288697,7.34527642898827,2.05391259555654e-13,0.563330943695599,0.973375253068427
"55","qu32","~~","qu32",0.736080617969242,0.0975951276520798,7.54218612832109,4.61852778244065e-14,0.544797682704577,0.927363553233908
"56","qu33","~~","qu33",0.894754063309352,0.103562284035738,8.63976757214607,0,0.691775716442597,1.09773241017611
"57","qu35","~~","qu35",0.775695397633445,0.165561894441064,4.68522905135983,2.7964701763139e-06,0.451200047316736,1.10019074795015
"58","qu36","~~","qu36",0.835229426316157,0.0881053983977346,9.47988933147635,0,0.662546018613045,1.00791283401927
"59","qu37","~~","qu37",0.791190673516051,0.104773557657596,7.55143464825057,4.30766533554561e-14,0.585838273975032,0.996543073057071
"60","qu38","~~","qu38",0.994395635373732,0.0298565539919392,33.3057738559581,0,0.935877864847055,1.05291340590041
"61","qu39","~~","qu39",0.647713813983648,0.105954575097843,6.11312737921434,9.76973169031226e-10,0.440046662794631,0.855380965172665
"62","qu40","~~","qu40",0.529417082338999,0.153387395714106,3.45150316865516,0.000557473210778037,0.228783311056958,0.83005085362104
"63","qu41","~~","qu41",0.605829118459985,0.146764056615089,4.1279120544403,3.66072060860034e-05,0.318176853269413,0.893481383650557
"64","qu42","~~","qu42",0.617819931873218,0.083761121758964,7.37597490218784,1.63202784619898e-13,0.453651149920975,0.781988713825462
"65","qu43","~~","qu43",0.380890657306121,0.0810914101198456,4.69705307557483,2.63941883837937e-06,0.221954414015657,0.539826900596585
"66","qu44","~~","qu44",0.312106055512904,0.0666709701030527,4.68128864827502,2.85077206707562e-06,0.181433355296574,0.442778755729233
"67","F1","~~","F1",1,0,NA,NA,1,1
"68","F2","~~","F2",1,0,NA,NA,1,1
"69","F3","~~","F3",1,0,NA,NA,1,1
"70","F4","~~","F4",1,0,NA,NA,1,1
"71","qu13","~1","",1.47455450739457,0.126503432555696,11.6562410806155,0,1.22661233566471,1.72249667912443
"72","qu14","~1","",3.82415266308969,0.361177493522123,10.5880148449932,0,3.11625778375988,4.5320475424195
"73","qu15","~1","",3.83732485839775,0.276141555006625,13.896223834568,0,3.29609735594987,4.37855236084562
"74","qu16","~1","",3.58018678746157,0.256544448021637,13.9554249373567,0,3.07736890890545,4.08300466601769
"75","qu17","~1","",2.08609819919913,0.203368380166208,10.2577313026451,0,1.68750349847911,2.48469289991915
"76","qu18","~1","",1.52429524037076,0.0837080459522447,18.2096622018912,0,1.36023048508814,1.68835999565339
"77","qu19","~1","",2.03011336475904,0.158463175901594,12.8112626369406,0,1.71953124711608,2.340695482402
"78","qu20","~1","",3.10356255561504,0.210633804913954,14.7343991477668,0,2.69072788405705,3.51639722717302
"79","qu21","~1","",3.72059395412697,0.307490414003782,12.0998697347398,0,3.11792381708825,4.32326409116569
"80","qu22","~1","",3.887670210509,0.334001233017335,11.6396881993164,0,3.23303982300306,4.54230059801495
"81","qu24","~1","",5.55314780908707,0.628252296959904,8.83904099668016,0,4.3217959338411,6.78449968433305
"82","qu25","~1","",6.07422912375929,0.385211651057993,15.7685498532463,0,5.31922816126041,6.82923008625816
"83","qu26","~1","",6.06910933577524,0.558817692708391,10.860624878143,0,4.97384678414302,7.16437188740746
